isbn,title,author,available_books,no_books_on_loan,LANGUAGE,edition,binding,book_type,subject_area,description
107930787,Wrecking Ball,Jeff Kinney,523,3,English,14,Hardcover,Common,Children,"In Wrecking Ball, Book 14 of the Diary of a Wimpy Kid series—from #1 international bestselling author Jeff Kinney—an unexpected inheritance gives Greg Heffley’s family a chance to make big changes to their house. But they soon find that home improvement isn’t all it’s cracked up to be."
117241506,Zagat 2020,Danny Meyer,72,0,English,2,Hardcover,Rare,Food,"Ratings and reviews for NYC's best restaurants as voted on by trusted diners. Since its inception in 1979, Zagat has beCommone the most useful and reliable resource in restaurant diSoftcoverovery."
123128970,The Little Women,Wini Moranville,1087,1,English,1,Softcover,Common,Food,Experience the exciting and heartwarming world of the March sisters and Little Women right in your own kitchen.
127140631,What If It's Us,Becky Albertalli,345,5,English,1,Hardcover,Common,Romance,"Critically acclaimed and bestselling authors Becky Albertalli and Adam Silvera Commonbine their talents in this smart, funny, heartfelt collaboration"
163781783,Wildwood,Colin Meloy,524,2,English,1,Softcover,Common,Children,"For fans of The Chronicles of Narnia Commones the first book in the Wildwood Chronicles, the New York"
256268233,All This Could,Jami Attenberg,743,1,English,1,Hardcover,Common,Literature,"All hail Jami Attenberg, the queen of dysfunctional families."
323484652,All This Could,Jami Attenberg,2374,3,English,1,Softcover,Common,Literature,"All hail Jami Attenberg, the queen of dysfunctional families."
359877010,Little Blue Truck,Alice Schertle,424,2,English,1,Hardcover,Common,Children,A storm is brewing and Little Blue Truck and his good friend Toad are hurrying home for bed.
374896935,Wild Game,Adrienne Brodeur,843,4,Spanish,2,Hardcover,Common,Biography,"A daughter’s tale of living in the thrall of her magnetic, Commonplicated mother, and the chilling consequences of her Commonplicity."
384244011,Wild Game,Adrienne Brodeur,275,3,Spanish,2,Softcover,Common,Biography,"A daughter’s tale of living in the thrall of her magnetic, Commonplicated mother, and the chilling consequences of her Commonplicity."
432463599,Wild Game,Adrienne Brodeur,21,0,English,2,Hardcover,Rare,Literature,"A daughter’s tale of living in the thrall of her magnetic, Commonplicated mother, and the chilling consequences of her Commonplicity."
444768196,Pastry Love,Joanne Chang,117,1,English,1,Hardcover,Common,Food,Baker and owner of the beloved Flour bakeries in Boston.
547020474,The Pats,Glenn Stout,747,3,English,1,Hardcover,Common,History,The definitive narrative history of the New Englishland Patriots
556128238,Fancy AF Cocktails,Ariana Madix,690,2,English,1,Softcover,Common,Food,Spin-off of The Real Housewives of Beverly Hills
559607568,They Bled Blue,Jason Turbow,983,1,English,1,Hardcover,Common,Literature,"Sprawling, mad tale of excess and exuberance, the likes of which could only have occurred in that place, at that time."
586630672,They Bled Blue,Jason Turbow,618,5,English,1,Softcover,Common,Literature,"Sprawling, mad tale of excess and exuberance, the likes of which could only have occurred in that place, at that time."
